Name,Type,Total,Within,Sewer,Septic,Othersys,Withslab,Withoutslab,NSopen,NShuman,NSanimal,Without,Public,Open
District - Bhavnagar,Urban,"238,737","194,693","148,316","41,061","1,416","2,080",632,"1,161",0,27,"44,044","7,975","36,069"
District - Anand,Total,"427,164","230,571","81,456","118,039","5,017","24,331","1,021",443,104,160,"196,593","5,446","191,147"
District - Anand,Rural,"297,069","122,559","21,092","76,531","3,667","20,067",755,247,88,112,"174,510","2,345","172,165"
District - Anand,Urban,"130,095","108,012","60,364","41,508","1,350","4,264",266,196,16,48,"22,083","3,101","18,982"
District - Kheda,Total,"462,134","172,599","64,775","84,073","4,545","17,125","1,206",646,17,212,"289,535","5,933","283,602"
District - Kheda,Rural,"358,132","90,966","8,122","63,705","3,876","13,490","1,011",553,17,192,"267,166","2,800","264,366"
District - Kheda,Urban,"104,002","81,633","56,653","20,368",669,"3,635",195,93,0,20,"22,369","3,133","19,236"
District - Panch Mahals,Total,"446,746","121,676","6,016","90,789","4,437","15,941","3,652",543,114,184,"325,070","4,980","320,090"
District - Panch Mahals,Rural,"378,617","64,384","2,579","39,137","4,081","14,393","3,604",302,114,174,"314,233","3,837","310,396"
District - Panch Mahals,Urban,"68,129","57,292","3,437","51,652",356,"1,548",48,241,0,10,"10,837","1,143","9,694"
District - Dohad,Total,"329,872","43,164","7,029","28,546","1,855","3,330","1,928",327,27,122,"286,708","2,600","284,108"
District - Dohad,Rural,"294,997","18,141",608,"11,119","1,638","2,540","1,874",285,15,62,"276,856","1,696","275,160"
District - Dohad,Urban,"34,875","25,023","6,421","17,427",217,790,54,42,12,60,"9,852",904,"8,948"
District - Vadodara,Total,"880,121","543,474","378,060","128,665","7,288","25,316","2,770",908,107,360,"336,647","13,310","323,337"
District - Vadodara,Rural,"418,851","119,555","14,763","76,820","5,053","20,554","1,817",378,24,146,"299,296","5,856","293,440"
District - Vadodara,Urban,"461,270","423,919","363,297","51,845","2,235","4,762",953,530,83,214,"37,351","7,454","29,897"
District - Narmada,Total,"122,039","27,223","2,388","16,231","2,093","4,564","1,573",262,80,32,"94,816","1,585","93,231"
District - Narmada,Rural,"109,005","17,483",538,"9,159","1,778","4,152","1,498",255,80,23,"91,522","1,217","90,305"
District - Narmada,Urban,"13,034","9,740","1,850","7,072",315,412,75,7,0,9,"3,294",368,"2,926"
District - Bharuch,Total,"335,098","204,943","59,549","122,351","4,199","15,857","1,692","1,024",0,271,"130,155","4,795","125,360"
District - Bharuch,Rural,"217,028","99,410","9,545","70,014","3,449","14,429","1,387",429,0,157,"117,618","2,158","115,460"
District - Bharuch,Urban,"118,070","105,533","50,004","52,337",750,"1,428",305,595,0,114,"12,537","2,637","9,900"
District - The Dangs,Total,"48,448","13,736",458,"7,402","1,115","3,882",728,53,90,8,"34,712","1,147","33,565"
District - The Dangs,Rural,"43,842","11,074",225,"5,284",982,"3,773",662,51,90,7,"32,768",785,"31,983"
District - The Dangs,Urban,"4,606","2,662",233,"2,118",133,109,66,2,0,1,"1,944",362,"1,582"
District - Navsari,Total,"294,176","168,150","60,011","95,995","2,478","7,472","1,201",431,268,294,"126,026","8,459","117,567"
District - Navsari,Rural,"203,615","90,542","4,229","75,479","2,076","7,149","1,155",187,119,148,"113,073","3,268","109,805"
District - Navsari,Urban,"90,561","77,608","55,782","20,516",402,323,46,244,149,146,"12,953","5,191","7,762"
District - Valsad,Total,"361,928","170,861","40,891","116,484","3,258","6,935","1,818","1,165",98,212,"191,067","14,125","176,942"
District - Valsad,Rural,"215,288","59,386","2,421","47,876","2,286","4,682","1,406",534,98,83,"155,902","3,841","152,061"
District - Valsad,Urban,"146,640","111,475","38,470","68,608",972,"2,253",412,631,0,129,"35,165","10,284","24,881"
District - Surat,Total,"1,299,670","1,103,767","893,836","175,648","5,294","17,868","5,423","4,989",405,304,"195,903","46,093","149,810"
District - Surat,Rural,"263,433","131,542","29,102","81,088","3,070","13,090","4,485",428,98,181,"131,891","4,284","127,607"
District - Surat,Urban,"1,036,237","972,225","864,734","94,560","2,224","4,778",938,"4,561",307,123,"64,012","41,809","22,203"
District - Tapi,Total,"175,717","49,441","6,681","33,769","2,011","5,310","1,340",231,0,99,"126,276","2,382","123,894"
District - Tapi,Rural,"159,096","36,566","1,862","26,222","1,780","5,157","1,307",148,0,90,"122,530","1,841","120,689"
District - Tapi,Urban,"16,621","12,875","4,819","7,547",231,153,33,83,0,9,"3,746",541,"3,205"
STATE - HARYANA,Total,"4,717,954","3,237,942","1,034,710","1,199,775","144,453","685,967","134,510","32,432","1,343","4,752","1,480,012","72,072","1,407,940"
STATE - HARYANA,Rural,"2,966,053","1,663,159","75,048","783,488","109,821","567,134","118,167","6,252",658,"2,591","1,302,894","48,691","1,254,203"
STATE - HARYANA,Urban,"1,751,901","1,574,783","959,662","416,287","34,632","118,833","16,343","26,180",685,"2,161","177,118","23,381","153,737"
District - Panchkula,Total,"110,236","77,967","47,652","22,065","1,402","5,928",532,332,0,56,"32,269","2,034","30,235"
District - Panchkula,Rural,"42,651","18,786","1,557","12,095",597,"4,100",190,233,0,14,"23,865",393,"23,472"
District - Panchkula,Urban,"67,585","59,181","46,095","9,970",805,"1,828",342,99,0,42,"8,404","1,641","6,763"
District - Ambala,Total,"208,071","142,922","29,149","98,324","3,760","7,236","1,000","3,131",115,207,"65,149","5,534","59,615"
District - Ambala,Rural,"112,525","57,554","4,436","44,789","1,506","5,516",689,473,69,76,"54,971","2,599","52,372"
District - Ambala,Urban,"95,546","85,368","24,713","53,535","2,254","1,720",311,"2,658",46,131,"10,178","2,935","7,243"
District - Yamunanagar,Total,"228,163","148,667","49,611","54,590","7,434","29,763","2,716","4,286",136,131,"79,496","2,018","77,478"
District - Yamunanagar,Rural,"133,009","61,199","3,676","32,807","3,159","19,576","1,612",239,26,104,"71,810","1,297","70,513"
District - Yamunanagar,Urban,"95,154","87,468","45,935","21,783","4,275","10,187","1,104","4,047",110,27,"7,686",721,"6,965"
District - Kurukshetra,Total,"179,391","136,321","36,501","60,596","6,305","29,327","2,239","1,332",0,21,"43,070","4,157","38,913"
District - Kurukshetra,Rural,"126,220","87,171","3,474","48,440","5,850","27,049","1,941",397,0,20,"39,049","3,794","35,255"
District - Kurukshetra,Urban,"53,171","49,150","33,027","12,156",455,"2,278",298,935,0,1,"4,021",363,"3,658"
District - Kaithal,Total,"200,221","126,896","24,432","32,988","9,476","53,691","3,074","3,111",50,74,"73,325","5,559","67,766"
District - Kaithal,Rural,"154,438","89,039","3,738","25,382","7,970","48,997","2,511",329,50,62,"65,399","4,933","60,466"
District - Kaithal,Urban,"45,783","37,857","20,694","7,606","1,506","4,694",563,"2,782",0,12,"7,926",626,"7,300"
District - Karnal,Total,"284,551","215,989","64,595","81,659","9,964","51,664","5,898","2,045",0,164,"68,562","5,489","63,073"
District - Karnal,Rural,"194,003","133,025","7,616","65,299","8,381","46,651","4,453",490,0,135,"60,978","4,601","56,377"
District - Karnal,Urban,"90,548","82,964","56,979","16,360","1,583","5,013","1,445","1,555",0,29,"7,584",888,"6,696"
District - Panipat,Total,"220,388","176,766","48,187","94,497","4,927","20,470","1,672","6,550",93,370,"43,622","3,251","40,371"
District - Panipat,Rural,"114,922","76,682","6,821","52,915","2,150","13,380",832,335,93,156,"38,240","2,188","36,052"
District - Panipat,Urban,"105,466","100,084","41,366","41,582","2,777","7,090",840,"6,215",0,214,"5,382","1,063","4,319"
District - Sonipat,Total,"269,658","183,719","55,094","100,590","3,205","21,982","1,204","1,309",22,313,"85,939","2,823","83,116"
District - Sonipat,Rural,"180,286","101,337","4,794","73,921","2,400","18,822",813,392,10,185,"78,949","2,285","76,664"
District - Sonipat,Urban,"89,372","82,382","50,300","26,669",805,"3,160",391,917,12,128,"6,990",538,"6,452"
District - Jind,Total,"244,582","146,428","33,971","53,182","9,147","47,760","1,477",579,100,212,"98,154","3,812","94,342"
District - Jind,Rural,"187,059","96,049","2,919","41,056","8,148","42,201","1,152",276,100,197,"91,010","3,492","87,518"
District - Jind,Urban,"57,523","50,379","31,052","12,126",999,"5,559",325,303,0,15,"7,144",320,"6,824"
District - Fatehabad,Total,"176,094","134,586","25,865","17,953","9,804","54,041","26,688",144,0,91,"41,508","4,107","37,401"
District - Fatehabad,Rural,"141,266","102,915","3,869","15,152","8,188","49,599","25,902",115,0,90,"38,351","3,858","34,493"
District - Fatehabad,Urban,"34,828","31,671","21,996","2,801","1,616","4,442",786,29,0,1,"3,157",249,"2,908"
District - Sirsa,Total,"240,217","215,371","49,642","11,977","15,287","77,070","61,160",146,0,89,"24,846","4,868","19,978"
District - Sirsa,Rural,"178,789","156,480","3,465","9,153","12,615","72,685","58,398",80,0,84,"22,309","4,591","17,718"
District - Sirsa,Urban,"61,428","58,891","46,177","2,824","2,672","4,385","2,762",66,0,5,"2,537",277,"2,260"
District - Hisar,Total,"325,046","231,144","71,594","61,489","13,434","68,555","15,245",418,51,358,"93,902","6,210","87,692"
District - Hisar,Rural,"221,028","138,093","4,493","49,450","11,492","58,006","14,216",257,51,128,"82,935","5,342","77,593"
District - Hisar,Urban,"104,018","93,051","67,101","12,039","1,942","10,549","1,029",161,0,230,"10,967",868,"10,099"
District - Bhiwani,Total,"308,812","175,689","40,389","72,429","10,649","50,021","1,526",439,87,149,"133,123","2,557","130,566"
District - Bhiwani,Rural,"245,761","120,948","5,025","61,342","7,771","45,080","1,264",305,42,119,"124,813","1,879","122,934"
District - Bhiwani,Urban,"63,051","54,741","35,364","11,087","2,878","4,941",262,134,45,30,"8,310",678,"7,632"
District - Rohtak,Total,"202,933","147,990","69,222","56,968","2,416","17,943",736,391,0,314,"54,943","1,240","53,703"
District - Rohtak,Rural,"115,506","67,496","2,375","46,135","1,717","16,242",543,182,0,302,"48,010",905,"47,105"
District - Rohtak,Urban,"87,427","80,494","66,847","10,833",699,"1,701",193,209,0,12,"6,933",335,"6,598"
District - Jhajjar,Total,"183,400","123,545","28,423","71,577","2,304","20,163",492,539,0,47,"59,855","1,541","58,314"
District - Jhajjar,Rural,"134,340","78,550","3,940","55,507","1,923","16,481",350,310,0,39,"55,790","1,400","54,390"
District - Jhajjar,Urban,"49,060","44,995","24,483","16,070",381,"3,682",142,229,0,8,"4,065",141,"3,924"
District - Mahendragarh,Total,"168,525","74,605","9,735","39,200","2,418","22,437",512,228,0,75,"93,920",992,"92,928"
District - Mahendragarh,Rural,"145,235","56,620","2,578","32,068","2,155","19,202",350,196,0,71,"88,615",780,"87,835"
District - Mahendragarh,Urban,"23,290","17,985","7,157","7,132",263,"3,235",162,32,0,4,"5,305",212,"5,093"
District - Rewari,Total,"169,128","100,436","19,824","33,785","19,106","26,936",448,240,0,97,"68,692",858,"67,834"
District - Rewari,Rural,"126,261","62,816","1,437","21,904","16,772","22,186",302,172,0,43,"63,445",665,"62,780"
District - Rewari,Urban,"42,867","37,620","18,387","11,881","2,334","4,750",146,68,0,54,"5,247",193,"5,054"
District - Gurgaon,Total,"320,642","271,169","171,642","65,950","1,835","28,876","1,127","1,235",11,493,"49,473","4,944","44,529"
District - Gurgaon,Rural,"88,013","57,754","2,832","33,729",999,"19,475",487,184,11,37,"30,259",496,"29,763"
District - Gurgaon,Urban,"232,629","213,415","168,810","32,221",836,"9,401",640,"1,051",0,456,"19,214","4,448","14,766"
District - Mewat,Total,"157,020","36,802","1,767","21,124","2,958","9,104",961,689,103,96,"120,218",915,"119,303"
District - Mewat,Rural,"137,261","24,448","1,011","12,420","2,524","6,959",884,464,103,83,"112,813",857,"111,956"
District - Mewat,Urban,"19,759","12,354",756,"8,704",434,"2,145",77,225,0,13,"7,405",58,"7,347"
District - Faridabad,Total,"353,066","296,399","146,551","97,254","5,879","36,110","5,076","3,845",575,"1,109","56,667","7,243","49,424"
District - Faridabad,Rural,"60,315","35,332","2,982","19,761","1,357","9,591",739,424,103,375,"24,983",764,"24,219"
District - Faridabad,Urban,"292,751","261,067","143,569","77,493","4,522","26,519","4,337","3,421",472,734,"31,684","6,479","25,205"
District - Palwal,Total,"167,810","74,531","10,864","51,578","2,743","6,890",727,"1,443",0,286,"93,279","1,920","91,359"
District - Palwal,Rural,"127,165","40,865","2,010","30,163","2,147","5,336",539,399,0,271,"86,300","1,572","84,728"
District - Palwal,Urban,"40,645","33,666","8,854","21,415",596,"1,554",188,"1,044",0,15,"6,979",348,"6,631"
STATE - HIMACHAL PRADESH,Total,"1,476,581","1,020,523","109,481","762,019","25,111","104,911","15,061","3,069",310,561,"456,058","18,068","437,990"
STATE - HIMACHAL PRADESH,Rural,"1,310,538","872,545","41,827","686,780","23,545","103,715","14,886","1,029",310,453,"437,993","11,427","426,566"
STATE - HIMACHAL PRADESH,Urban,"166,043","147,978","67,654","75,239","1,566","1,196",175,"2,040",0,108,"18,065","6,641","11,424"
District - Chamba,Total,"101,972","52,553","5,471","36,338",959,"8,338","1,082",267,19,79,"49,419","1,203","48,216"
District - Chamba,Rural,"94,574","46,120","2,370","33,261",775,"8,300","1,075",241,19,79,"48,454",923,"47,531"
District - Chamba,Urban,"7,398","6,433","3,101","3,077",184,38,7,26,0,0,965,280,685
District - Kangra,Total,"336,407","220,258","8,875","175,119","5,386","26,545","3,888",286,63,96,"116,149","2,446","113,703"
District - Kangra,Rural,"316,419","203,806","5,422","162,471","5,256","26,421","3,841",241,63,91,"112,613","1,850","110,763"
District - Kangra,Urban,"19,988","16,452","3,453","12,648",130,124,47,45,0,5,"3,536",596,"2,940"
District - Lahul & Spiti,Total,"6,695","5,232",56,"1,368","2,222",776,771,5,34,0,"1,463",93,"1,370"
District - Lahul & Spiti,Rural,"6,695","5,232",56,"1,368","2,222",776,771,5,34,0,"1,463",93,"1,370"
District - Lahul & Spiti,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
District - Kullu,Total,"95,545","55,831","5,125","42,284",773,"5,041","2,435",77,15,81,"39,714","1,225","38,489"
District - Kullu,Rural,"84,501","45,826","1,612","36,120",751,"4,812","2,394",42,15,80,"38,675",827,"37,848"
District - Kullu,Urban,"11,044","10,005","3,513","6,164",22,229,41,35,0,1,"1,039",398,641
District - Mandi,Total,"219,994","181,985","16,238","137,468","3,049","23,576","1,445",85,24,100,"38,009","2,500","35,509"
District - Mandi,Rural,"204,051","167,323","7,576","131,627","3,008","23,541","1,443",83,24,21,"36,728","1,902","34,826"
District - Mandi,Urban,"15,943","14,662","8,662","5,841",41,35,2,2,0,79,"1,281",598,683
District - Hamirpur,Total,"105,068","93,858","4,976","72,194","3,731","12,216",697,26,0,18,"11,210",824,"10,386"
District - Hamirpur,Rural,"97,893","87,232","3,542","67,127","3,679","12,155",687,24,0,18,"10,661",716,"9,945"
District - Hamirpur,Urban,"7,175","6,626","1,434","5,067",52,61,10,2,0,0,549,108,441
District - Una,Total,"109,699","66,103","2,603","55,615","1,958","5,432",367,109,0,19,"43,596",835,"42,761"
District - Una,Rural,"99,791","58,716","2,023","49,296","1,851","5,105",365,61,0,15,"41,075",572,"40,503"
District - Una,Urban,"9,908","7,387",580,"6,319",107,327,2,48,0,4,"2,521",263,"2,258"
District - Bilaspur,Total,"80,453","56,814","6,475","39,093","1,161","9,904",121,54,0,6,"23,639",772,"22,867"
District - Bilaspur,Rural,"74,661","51,401","2,817","37,552","1,121","9,752",120,33,0,6,"23,260",626,"22,634"
District - Bilaspur,Urban,"5,792","5,413","3,658","1,541",40,152,1,21,0,0,379,146,233
District - Solan,Total,"123,353","90,587","11,370","71,672","2,039","4,735",563,173,0,35,"32,766","2,330","30,436"
District - Solan,Rural,"97,237","67,131","5,309","55,387","1,235","4,567",559,48,0,26,"30,106","1,115","28,991"
District - Solan,Urban,"26,116","23,456","6,061","16,285",804,168,4,125,0,9,"2,660","1,215","1,445"
District - Sirmaur,Total,"97,090","60,246","7,205","47,545","1,245","2,161",276,"1,733",0,81,"36,844","1,113","35,731"
District - Sirmaur,Rural,"84,317","47,975","3,127","41,134","1,159","2,142",254,86,0,73,"36,342","1,045","35,297"
District - Sirmaur,Urban,"12,773","12,271","4,078","6,411",86,19,22,"1,647",0,8,502,68,434
District - Shimla,Total,"180,770","123,535","39,152","74,323","1,572","5,646","2,552",245,0,45,"57,235","4,428","52,807"
District - Shimla,Rural,"130,864","78,262","6,038","62,437","1,472","5,603","2,513",156,0,43,"52,602","1,459","51,143"
District - Shimla,Urban,"49,906","45,273","33,114","11,886",100,43,39,89,0,2,"4,633","2,969","1,664"
District - Kinnaur,Total,"19,535","13,521","1,935","9,000","1,016",541,864,9,155,1,"6,014",299,"5,715"
District - Kinnaur,Rural,"19,535","13,521","1,935","9,000","1,016",541,864,9,155,1,"6,014",299,"5,715"
District - Kinnaur,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0
STATE - JAMMU & KASHMIR,Total,"2,015,088","1,031,297","200,545","357,275","107,171","66,218","44,057","64,479","178,443","13,109","983,791","55,181","928,610"
STATE - JAMMU & KASHMIR,Rural,"1,497,920","578,924","69,817","161,159","79,610","50,165","37,913","10,312","160,770","9,178","918,996","45,904","873,092"
STATE - JAMMU & KASHMIR,Urban,"517,168","452,373","130,728","196,116","27,561","16,053","6,144","54,167","17,673","3,931","64,795","9,277","55,518"
District - Kupwara,Total,"106,777","54,335","5,098","6,625","10,919","3,208","6,583","2,269","18,817",816,"52,442","8,319","44,123"
District - Kupwara,Rural,"96,737","47,288","4,434","4,263","9,825","2,686","6,068","2,140","17,195",677,"49,449","7,878","41,571"
District - Kupwara,Urban,"10,040","7,047",664,"2,362","1,094",522,515,129,"1,622",139,"2,993",441,"2,552"
District - Badgam,Total,"99,219","83,615","8,083","15,358","9,208","2,925","4,088","1,779","41,505",669,"15,604","4,962","10,642"
District - Badgam,Rural,"86,083","71,734","5,732","10,587","8,403","2,680","3,953",486,"39,453",440,"14,349","4,412","9,937"
District - Badgam,Urban,"13,136","11,881","2,351","4,771",805,245,135,"1,293","2,052",229,"1,255",550,705
District - Leh (ladakh),Total,"20,777","18,780",543,445,695,"14,117",863,53,"2,037",27,"1,997",216,"1,781"
District - Leh (ladakh),Rural,"14,590","12,851",245,187,636,"9,598",651,3,"1,518",13,"1,739",146,"1,593"
District - Leh (ladakh),Urban,"6,187","5,929",298,258,59,"4,519",212,50,519,14,258,70,188
District - Kargil,Total,"18,212","17,649",506,"1,097","9,610",167,"1,537",37,"4,639",56,563,81,482
District - Kargil,Rural,"15,442","14,949",208,218,"8,166",162,"1,536",36,"4,589",34,493,77,416
District - Kargil,Urban,"2,770","2,700",298,879,"1,444",5,1,1,50,22,70,4,66
District - Punch,Total,"88,878","16,586","2,431","11,478","1,174",446,86,338,133,500,"72,292","1,822","70,470"
District - Punch,Rural,"81,670","11,158",931,"7,822","1,049",437,86,257,122,454,"70,512","1,795","68,717"
District - Punch,Urban,"7,208","5,428","1,500","3,656",125,9,0,81,11,46,"1,780",27,"1,753"
District - Rajouri,Total,"124,000","17,778","2,449","12,189","1,259",693,69,864,61,194,"106,222","1,716","104,506"
District - Rajouri,Rural,"117,183","11,950","1,066","8,794",972,676,60,159,61,162,"105,233","1,578","103,655"
District - Rajouri,Urban,"6,817","5,828","1,383","3,395",287,17,9,705,0,32,989,138,851
District - Kathua,Total,"117,836","26,033","2,627","18,861","1,615","1,894",100,729,0,207,"91,803","1,685","90,118"
District - Kathua,Rural,"100,283","14,258","1,344","10,567",492,"1,504",62,106,0,183,"86,025","1,606","84,419"
District - Kathua,Urban,"17,553","11,775","1,283","8,294","1,123",390,38,623,0,24,"5,778",79,"5,699"
District - Baramula,Total,"145,990","113,281","19,179","21,635","13,912","5,884","6,716","4,803","39,847","1,305","32,709","4,567","28,142"
District - Baramula,Rural,"119,791","89,048","12,479","12,482","12,203","5,086","6,519","1,915","37,251","1,113","30,743","4,257","26,486"
District - Baramula,Urban,"26,199","24,233","6,700","9,153","1,709",798,197,"2,888","2,596",192,"1,966",310,"1,656"
District - Bandipore,Total,"56,794","42,035","5,199","3,777","4,992","2,501","3,402","1,625","19,456","1,083","14,759","1,540","13,219"
District - Bandipore,Rural,"47,620","33,382","3,957","2,515","3,931","1,792","3,299",454,"16,673",761,"14,238","1,374","12,864"
District - Bandipore,Urban,"9,174","8,653","1,242","1,262","1,061",709,103,"1,171","2,783",322,521,166,355
District - Srinagar,Total,"167,448","164,002","63,514","48,502","8,101","2,818","1,612","33,799","3,374","2,282","3,446",998,"2,448"
District - Srinagar,Rural,"2,690","2,385",180,952,326,103,27,350,447,0,305,23,282
District - Srinagar,Urban,"164,758","161,617","63,334","47,550","7,775","2,715","1,585","33,449","2,927","2,282","3,141",975,"2,166"
District - Ganderbal,Total,"43,249","31,492","3,726","5,311","3,759","2,016","1,553",207,"14,315",605,"11,757","1,650","10,107"
District - Ganderbal,Rural,"36,626","25,446","2,535","3,357","3,360","1,855","1,373",179,"12,184",603,"11,180","1,578","9,602"
District - Ganderbal,Urban,"6,623","6,046","1,191","1,954",399,161,180,28,"2,131",2,577,72,505
District - Pulwama,Total,"81,241","53,836","12,237","19,265","4,826","3,025","2,804",664,"10,013","1,002","27,405","1,912","25,493"
District - Pulwama,Rural,"71,063","44,562","8,975","14,912","4,372","2,795","2,411",258,"9,864",975,"26,501","1,753","24,748"
District - Pulwama,Urban,"10,178","9,274","3,262","4,353",454,230,393,406,149,27,904,159,745
District - Shupiyan,Total,"41,947","25,628","5,680","6,471","6,424","3,197","2,601",256,711,288,"16,319","1,893","14,426"
District - Shupiyan,Rural,"39,486","23,296","4,558","5,563","6,311","3,180","2,599",180,635,270,"16,190","1,882","14,308"
District - Shupiyan,Urban,"2,461","2,332","1,122",908,113,17,2,76,76,18,129,11,118
District - Anantnag,Total,"142,987","80,917","11,868","18,718","11,484","8,585","7,119","5,495","15,246","2,402","62,070","10,577","51,493"
District - Anantnag,Rural,"109,465","55,613","6,405","11,451","9,140","6,241","5,651",765,"13,841","2,119","53,852","8,879","44,973"
District - Anantnag,Urban,"33,522","25,304","5,463","7,267","2,344","2,344","1,468","4,730","1,405",283,"8,218","1,698","6,520"
District - Kulgam,Total,"69,203","31,048","4,940","6,800","4,904","4,220","2,606",687,"6,441",450,"38,155","3,370","34,785"
District - Kulgam,Rural,"56,316","23,508","3,544","4,517","3,950","3,364","2,115",523,"5,167",328,"32,808","2,736","30,072"
District - Kulgam,Urban,"12,887","7,540","1,396","2,283",954,856,491,164,"1,274",122,"5,347",634,"4,713"
District - Doda,Total,"78,620","23,060","7,713","8,960","2,539","1,116",364,"2,200",46,122,"55,560","1,151","54,409"
District - Doda,Rural,"72,580","17,417","4,539","8,340","1,675","1,108",335,"1,301",0,119,"55,163","1,125","54,038"
District - Doda,Urban,"6,040","5,643","3,174",620,864,8,29,899,46,3,397,26,371
District - Ramban,Total,"54,206","10,892","1,755","6,985","1,225",271,157,172,11,316,"43,314","1,521","41,793"
District - Ramban,Rural,"52,261","9,284","1,537","5,808","1,060",259,151,145,11,313,"42,977","1,487","41,490"
District - Ramban,Urban,"1,945","1,608",218,"1,177",165,12,6,27,0,3,337,34,303
District - Kishtwar,Total,"44,517","10,761","2,437","3,118",921,788,426,"1,109","1,759",203,"33,756",699,"33,057"
District - Kishtwar,Rural,"41,968","8,380","1,239","2,675",837,749,383,535,"1,759",203,"33,588",694,"32,894"
District - Kishtwar,Urban,"2,549","2,381","1,198",443,84,39,43,574,0,0,168,5,163
District - Udhampur,Total,"93,562","18,063","3,353","13,085",796,401,78,298,14,38,"75,499",953,"74,546"
District - Udhampur,Rural,"77,104","5,710",707,"4,114",388,302,44,127,0,28,"71,394",838,"70,556"
District - Udhampur,Urban,"16,458","12,353","2,646","8,971",408,99,34,171,14,10,"4,105",115,"3,990"
District - Reasi,Total,"54,792","8,334","2,170","5,170",548,155,83,167,0,41,"46,458",519,"45,939"
District - Reasi,Rural,"49,914","4,492",553,"3,281",393,150,20,55,0,40,"45,422",416,"45,006"
District - Reasi,Urban,"4,878","3,842","1,617","1,889",155,5,63,112,0,1,"1,036",103,933
District - Jammu,Total,"302,016","162,522","33,019","107,522","7,618","6,396","1,141","6,356",18,452,"139,494","4,762","134,732"
District - Jammu,Rural,"155,851","38,369","3,451","27,848","1,688","4,289",516,285,0,292,"117,482","1,128","116,354"
District - Jammu,Urban,"146,165","124,153","29,568","79,674","5,930","2,107",625,"6,071",18,160,"22,012","3,634","18,378"
District - Samba,Total,"62,817","20,650","2,018","15,903",642,"1,395",69,572,0,51,"42,167",268,"41,899"
District - Samba,Rural,"53,197","13,844","1,198","10,906",433,"1,149",54,53,0,51,"39,353",242,"39,111"
District - Samba,Urban,"9,620","6,806",820,"4,997",209,246,15,519,0,0,"2,814",26,"2,788"
STATE - JHARKHAND,Total,"6,181,607","1,361,867","230,929","967,998","59,926","65,350","20,525","9,317","1,836","5,986","4,819,740","60,407","4,759,333"
STATE - JHARKHAND,Rural,"4,685,965","357,289","21,065","232,161","37,708","44,334","14,466","3,615","1,061","2,879","4,328,676","32,864","4,295,812"
STATE - JHARKHAND,Urban,"1,495,642","1,004,578","209,864","735,837","22,218","21,016","6,059","5,702",775,"3,107","491,064","27,543","463,521"
District - Garhwa,Total,"254,710","18,018","1,673","11,918","1,208","2,076",826,126,27,164,"236,692","1,019","235,673"
District - Garhwa,Rural,"241,497","11,897",622,"7,109","1,125","1,976",781,102,27,155,"229,600",919,"228,681"
District - Garhwa,Urban,"13,213","6,121","1,051","4,809",83,100,45,24,0,9,"7,092",100,"6,992"
District - Chatra,Total,"180,912","18,298",723,"13,044","1,137","2,411",746,154,0,83,"162,614","2,030","160,584"
District - Chatra,Rural,"170,239","11,286",461,"7,630",898,"1,651",434,142,0,70,"158,953","1,905","157,048"
District - Chatra,Urban,"10,673","7,012",262,"5,414",239,760,312,12,0,13,"3,661",125,"3,536"
District - Kodarma,Total,"114,060","18,818","1,302","15,449","1,130",606,160,66,10,95,"95,242",937,"94,305"
District - Kodarma,Rural,"90,207","6,817",500,"4,918",855,339,112,31,10,52,"83,390",807,"82,583"
District - Kodarma,Urban,"23,853","12,001",802,"10,531",275,267,48,35,0,43,"11,852",130,"11,722"
District - Giridih,Total,"391,448","42,269","2,221","33,293","2,517","2,813",853,315,63,194,"349,179","2,904","346,275"
District - Giridih,Rural,"356,247","20,703","1,164","14,393","1,920","2,099",698,236,63,130,"335,544","2,432","333,112"
District - Giridih,Urban,"35,201","21,566","1,057","18,900",597,714,155,79,0,64,"13,635",472,"13,163"
District - Deoghar,Total,"260,316","42,762","2,944","34,347","2,447","1,985",692,129,70,148,"217,554","2,137","215,417"
District - Deoghar,Rural,"214,896","11,752",603,"7,415","1,497","1,423",562,85,70,97,"203,144","1,320","201,824"
District - Deoghar,Urban,"45,420","31,010","2,341","26,932",950,562,130,44,0,51,"14,410",817,"13,593"
District - Godda,Total,"251,018","26,348","1,073","19,776","2,454","2,397",260,162,33,193,"224,670","1,999","222,671"
District - Godda,Rural,"239,500","18,870",836,"13,409","2,094","2,005",224,158,33,111,"220,630","1,968","218,662"
District - Godda,Urban,"11,518","7,478",237,"6,367",360,392,36,4,0,82,"4,040",31,"4,009"
District - Sahibganj,Total,"224,517","34,451","1,041","23,078","4,759","3,738","1,256",490,11,78,"190,066","1,262","188,804"
District - Sahibganj,Rural,"193,809","17,774",534,"10,350","3,336","2,534",890,81,0,49,"176,035",920,"175,115"
District - Sahibganj,Urban,"30,708","16,677",507,"12,728","1,423","1,204",366,409,11,29,"14,031",342,"13,689"
District - Pakur,Total,"180,578","18,395",456,"12,025","1,825","3,117",872,76,0,24,"162,183","1,619","160,564"
District - Pakur,Rural,"167,362","12,244",330,"6,515","1,592","2,887",828,70,0,22,"155,118","1,474","153,644"
District - Pakur,Urban,"13,216","6,151",126,"5,510",233,230,44,6,0,2,"7,065",145,"6,920"
